Time,X,Y,Z,Roll,Pitch,Yaw
153 32 17 14 16 12 2021,-11953.452148,9175.922852,-8.956696,0.0,0.0,-12.982252
175 32 17 14 16 12 2021,-11953.452148,9175.922852,-8.956696,0.0,0.0,-12.982252
197 32 17 14 16 12 2021,-11953.452148,9175.922852,-8.956696,0.0,0.0,-12.982252
220 32 17 14 16 12 2021,-11953.452148,9175.922852,-8.956696,0.0,0.0,-12.982252
242 32 17 14 16 12 2021,-11953.429688,9176.688477,-8.009605,0.0,0.0,-11.791142
268 32 17 14 16 12 2021,-11953.428711,9176.733398,-7.95459,0.0,0.0,-11.721949
286 32 17 14 16 12 2021,-11953.428711,9176.733398,-7.95459,0.0,0.0,-11.721949
311 32 17 14 16 12 2021,-11953.592773,9177.608398,-7.37648,0.0,0.0,-10.739899
332 32 17 14 16 12 2021,-11953.592773,9177.608398,-7.37648,0.0,0.0,-10.739899
354 32 17 14 16 12 2021,-11953.592773,9177.608398,-7.37648,0.0,0.0,-10.739899
377 32 17 14 16 12 2021,-11953.714844,9178.513672,-7.078796,0.0,0.0,-9.551465
415 32 17 14 16 12 2021,-11953.714844,9178.513672,-7.078796,0.0,0.0,-9.551465
441 32 17 14 16 12 2021,-11953.714844,9178.513672,-7.078796,0.0,0.0,-9.551465
446 32 17 14 16 12 2021,-11953.736328,9179.030273,-6.887889,0.0,0.0,-9.227057
464 32 17 14 16 12 2021,-11953.777344,9180.015625,-6.523422,0.0,0.0,-8.607707
488 32 17 14 16 12 2021,-11953.777344,9180.015625,-6.523422,0.0,0.0,-8.607707
508 32 17 14 16 12 2021,-11953.777344,9180.015625,-6.523422,0.0,0.0,-8.607707
531 32 17 14 16 12 2021,-11952.919922,9181.145508,-5.782196,0.0,0.0,-6.512784
553 32 17 14 16 12 2021,-11952.919922,9181.145508,-5.782196,0.0,0.0,-6.512784
597 32 17 14 16 12 2021,-11951.769531,9181.96875,-5.30687,0.0,0.0,-4.68593
603 32 17 14 16 12 2021,-11951.769531,9181.96875,-5.30687,0.0,0.0,-4.68593
620 32 17 14 16 12 2021,-11950.253906,9182.991211,-4.497101,0.0,0.0,-2.698021
641 32 17 14 16 12 2021,-11950.253906,9182.991211,-4.497101,0.0,0.0,-2.698021
680 32 17 14 16 12 2021,-11950.253906,9182.991211,-4.497101,0.0,0.0,-2.698021
693 32 17 14 16 12 2021,-11950.253906,9182.991211,-4.497101,0.0,0.0,-2.698021
715 32 17 14 16 12 2021,-11948.884766,9183.479492,-3.284274,0.0,0.0,-0.47236
743 32 17 14 16 12 2021,-11948.455078,9183.632812,-2.904175,0.0,0.0,0.225121
763 32 17 14 16 12 2021,-11948.455078,9183.632812,-2.904175,0.0,0.0,0.225121
785 32 17 14 16 12 2021,-11948.455078,9183.632812,-2.904175,0.0,0.0,0.225121
807 32 17 14 16 12 2021,-11947.237305,9183.764648,-1.166547,0.0,0.0,1.208176
830 32 17 14 16 12 2021,-11947.125977,9183.776367,-1.00708,0.0,0.0,1.298393
852 32 17 14 16 12 2021,-11947.125977,9183.776367,-1.00708,0.0,0.0,1.298393
874 32 17 14 16 12 2021,-11947.125977,9183.776367,-1.00708,0.0,0.0,1.298393
896 32 17 14 16 12 2021,-11947.125977,9183.776367,-1.00708,0.0,0.0,1.298393
918 32 17 14 16 12 2021,-11946.164062,9183.22168,1.503082,0.0,0.0,1.127296
941 32 17 14 16 12 2021,-11946.164062,9183.22168,1.503082,0.0,0.0,1.127296
964 32 17 14 16 12 2021,-11946.164062,9183.22168,1.503082,0.0,0.0,1.127296
985 32 17 14 16 12 2021,-11946.164062,9183.22168,1.503082,0.0,0.0,1.127296
7 33 17 14 16 12 2021,-11945.552734,9182.220703,3.275772,0.0,0.0,1.969086
29 33 17 14 16 12 2021,-11945.552734,9182.220703,3.275772,0.0,0.0,1.969086
51 33 17 14 16 12 2021,-11945.552734,9182.220703,3.275772,0.0,0.0,1.969086
75 33 17 14 16 12 2021,-11945.552734,9182.220703,3.275772,0.0,0.0,1.969086
95 33 17 14 16 12 2021,-11945.650391,9180.908203,4.480698,0.0,0.0,1.756569
117 33 17 14 16 12 2021,-11945.650391,9180.908203,4.480698,0.0,0.0,1.756569
139 33 17 14 16 12 2021,-11945.650391,9180.908203,4.480698,0.0,0.0,1.756569
162 33 17 14 16 12 2021,-11945.806641,9179.869141,5.23877,0.0,0.0,1.721871
184 33 17 14 16 12 2021,-11945.806641,9179.869141,5.23877,0.0,0.0,1.721871
220 33 17 14 16 12 2021,-11945.806641,9179.869141,5.23877,0.0,0.0,1.721871
229 33 17 14 16 12 2021,-11945.806641,9179.869141,5.23877,0.0,0.0,1.721871
250 33 17 14 16 12 2021,-11945.806641,9179.869141,5.23877,0.0,0.0,1.721871
299 33 17 14 16 12 2021,-11945.806641,9179.869141,5.23877,0.0,0.0,1.721871
328 33 17 14 16 12 2021,-11945.806641,9179.869141,5.23877,0.0,0.0,1.721871
339 33 17 14 16 12 2021,-11945.806641,9179.869141,5.23877,0.0,0.0,1.721871
362 33 17 14 16 12 2021,-11945.806641,9179.869141,5.23877,0.0,0.0,1.721871
418 33 17 14 16 12 2021,-11945.806641,9179.869141,5.23877,0.0,0.0,1.721871
424 33 17 14 16 12 2021,-11945.806641,9179.869141,5.23877,0.0,0.0,1.721871
