Time,X,Y,Z,Roll,Pitch,Yaw
18 28 17 16 17 12 2021,0.0,0.0,0.0,0.0,0.0,0.0
270 28 17 16 17 12 2021,0.0,0.0,0.0,0.0,0.0,0.0
493 28 17 16 17 12 2021,0.0,0.0,0.0,0.0,0.0,0.0
545 28 17 16 17 12 2021,-4.850984,3.719155,0.000898,0.0,0.0,-0.018497
571 28 17 16 17 12 2021,-12.068004,9.252303,0.002235,0.0,0.0,-0.046018
599 28 17 16 17 12 2021,-21.880432,16.775303,0.004053,0.0,0.0,-0.083438
625 28 17 16 17 12 2021,-34.092377,26.137962,0.006314,0.0,0.0,-0.130013
651 28 17 16 17 12 2021,-48.646732,37.296505,0.00901,0.0,0.0,-0.185527
680 28 17 16 17 12 2021,-65.875809,50.505699,0.012201,0.0,0.0,-0.25125
704 28 17 16 17 12 2021,-85.252823,65.361679,0.01579,0.0,0.0,-0.325178
728 28 17 16 17 12 2021,-106.823753,81.899689,0.019785,0.0,0.0,-0.407487
753 28 17 16 17 12 2021,-130.602478,100.130379,0.024189,0.0,0.0,-0.498236
781 28 17 16 17 12 2021,-156.985321,120.35759,0.029076,0.0,0.0,-0.598942
808 28 17 16 17 12 2021,-185.70401,142.375656,0.034395,0.0,0.0,-0.708585
836 28 17 16 17 12 2021,-216.903473,166.295685,0.040174,0.0,0.0,-0.827724
859 28 17 16 17 12 2021,-250.244995,191.857986,0.046349,0.0,0.0,-0.955072
884 28 17 16 17 12 2021,-285.735535,219.067902,0.052922,0.0,0.0,-1.090661
932 28 17 16 17 12 2021,-325.43219,249.502563,0.060275,0.0,0.0,-1.24236
989 28 17 16 17 12 2021,-325.43219,249.502563,0.060275,0.0,0.0,-1.24236
48 29 17 16 17 12 2021,-325.43219,249.502563,0.060275,0.0,0.0,-1.24236
104 29 17 16 17 12 2021,-325.43219,249.502563,0.060275,0.0,0.0,-1.24236
160 29 17 16 17 12 2021,-325.43219,249.502563,0.060275,0.0,0.0,-1.24236
212 29 17 16 17 12 2021,-325.43219,249.502563,0.060275,0.0,0.0,-1.24236
267 29 17 16 17 12 2021,-325.43219,249.502563,0.060275,0.0,0.0,-1.24236
322 29 17 16 17 12 2021,-325.43219,249.502563,0.060275,0.0,0.0,-1.24236
376 29 17 16 17 12 2021,-390.201965,299.196838,0.071596,0.0,0.0,-1.655919
431 29 17 16 17 12 2021,-479.39093,367.626617,0.087186,0.0,0.0,-2.226429
486 29 17 16 17 12 2021,-592.295349,454.251923,0.106921,0.0,0.0,-2.950282
542 29 17 16 17 12 2021,-592.295349,454.251923,0.106921,0.0,0.0,-2.950282
598 29 17 16 17 12 2021,-592.295349,454.251923,0.106921,0.0,0.0,-2.950282
652 29 17 16 17 12 2021,-592.295349,454.251923,0.106921,0.0,0.0,-2.950282
707 29 17 16 17 12 2021,-712.283569,546.308472,0.122913,0.0,0.0,-3.689311
763 29 17 16 17 12 2021,-712.283569,546.308472,0.122913,0.0,0.0,-3.689311
820 29 17 16 17 12 2021,-842.104004,645.904541,0.14104,0.0,0.0,-4.47544
876 29 17 16 17 12 2021,-981.545776,752.882019,0.160511,0.0,0.0,-5.321839
911 29 17 16 17 12 2021,-1126.154785,863.82373,0.180703,0.0,0.0,-6.201741
948 29 17 16 17 12 2021,-1275.761475,978.599548,0.201593,0.0,0.0,-7.114322
981 29 17 16 17 12 2021,-1429.741455,1096.730469,0.223093,0.0,0.0,-8.055964
14 30 17 16 17 12 2021,-1587.5625,1217.808228,0.24513,0.0,0.0,-9.02357
48 30 17 16 17 12 2021,-1749.271729,1341.868896,0.26771,0.0,0.0,-10.017589
81 30 17 16 17 12 2021,-1914.401733,1468.553955,0.290768,0.0,0.0,-11.035284
114 30 17 16 17 12 2021,-2082.669434,1597.64624,0.314263,0.0,0.0,-12.075041
149 30 17 16 17 12 2021,-2254.146729,1729.200806,0.338207,0.0,0.0,-13.137424
185 30 17 16 17 12 2021,-2428.673096,1863.094604,0.362577,0.0,0.0,-14.221551
225 30 17 16 17 12 2021,-2605.457764,1998.720947,0.387261,0.0,0.0,-15.322599
250 30 17 16 17 12 2021,-2784.571289,2136.133789,0.412271,0.0,0.0,-16.441076
282 30 17 16 17 12 2021,-2965.568848,2274.992188,0.437545,0.0,0.0,-17.574266
317 30 17 16 17 12 2021,-3148.500732,2415.334473,0.463088,0.0,0.0,-18.722517
350 30 17 16 17 12 2021,-3332.780273,2556.710938,0.488819,0.0,0.0,-19.882195
383 30 17 16 17 12 2021,-3518.255127,2699.00415,0.514718,0.0,0.0,-21.052343
417 30 17 16 17 12 2021,-3704.707764,2842.047607,0.540752,0.0,0.0,-22.231577
449 30 17 16 17 12 2021,-3891.874023,2985.638672,0.566887,0.0,0.0,-23.418234
489 30 17 16 17 12 2021,-4079.748779,3129.773193,0.59312,0.0,0.0,-24.612244
516 30 17 16 17 12 2021,-4267.640137,3273.92041,0.619356,0.0,0.0,-25.809181
550 30 17 16 17 12 2021,-4455.675293,3418.177734,0.645612,0.0,0.0,-27.009798
583 30 17 16 17 12 2021,-4643.478516,3562.257324,0.671835,0.0,0.0,-28.211624
616 30 17 16 17 12 2021,-4830.88916,3706.035645,0.698004,0.0,0.0,-29.413567
649 30 17 16 17 12 2021,-5017.747559,3849.390625,0.724095,0.0,0.0,-30.614521
682 30 17 16 17 12 2021,-5203.693359,3992.045166,0.75006,0.0,0.0,-31.812078
716 30 17 16 17 12 2021,-5388.70166,4133.980469,0.775893,0.0,0.0,-33.005985
748 30 17 16 17 12 2021,-5572.410156,4274.918457,0.801544,0.0,0.0,-34.193787
783 30 17 16 17 12 2021,-5754.872559,4414.900391,0.827022,0.0,0.0,-35.375748
816 30 17 16 17 12 2021,-5935.724121,4553.646484,0.852275,0.0,0.0,-36.549385
848 30 17 16 17 12 2021,-6114.781738,4691.016602,0.877277,0.0,0.0,-37.713406
885 30 17 16 17 12 2021,-6292.270508,4827.183105,0.90206,0.0,0.0,-38.869156
908 30 17 16 17 12 2021,-6466.743652,4961.036133,0.926422,0.0,0.0,-40.007111
932 30 17 16 17 12 2021,-6638.207031,5092.580078,0.950364,0.0,0.0,-41.127151
957 30 17 16 17 12 2021,-6806.614746,5221.779785,0.97388,0.0,0.0,-42.228809
980 30 17 16 17 12 2021,-6971.842773,5348.540039,0.996951,0.0,0.0,-43.311146
4 31 17 16 17 12 2021,-7133.815918,5472.803223,1.019567,0.0,0.0,-44.373531
27 31 17 16 17 12 2021,-7292.582031,5594.605957,1.041736,0.0,0.0,-45.416229
51 31 17 16 17 12 2021,-7448.140625,5713.947754,1.063457,0.0,0.0,-46.439022
75 31 17 16 17 12 2021,-7600.404297,5830.761719,1.084718,0.0,0.0,-47.441269
113 31 17 16 17 12 2021,-7750.509766,5945.919922,1.105678,0.0,0.0,-48.430374
138 31 17 16 17 12 2021,-7897.32373,6058.553223,1.126178,0.0,0.0,-49.398792
167 31 17 16 17 12 2021,-8041.118164,6168.870117,1.146256,0.0,0.0,-50.348175
