Time,X,Y,Z,Roll,Pitch,Yaw
606 12 40 15 17 12 2021,0.0,0.0,0.0,0.0,0.0,0.0
894 13 40 15 17 12 2021,0.0,0.0,0.0,0.0,0.0,0.0
955 13 40 15 17 12 2021,-907.464294,696.083862,0.575326,0.0,0.0,-0.899606
607 14 40 15 17 12 2021,-2584.627441,1982.576538,1.638637,0.0,0.0,-2.563268
946 14 40 15 17 12 2021,-4611.349609,3537.203613,2.923566,0.0,0.0,-4.574834
310 15 40 15 17 12 2021,-4611.349609,3537.203613,2.923566,0.0,0.0,-4.574834
614 15 40 15 17 12 2021,-4611.349609,3537.203613,2.923566,0.0,0.0,-4.574834
948 15 40 15 17 12 2021,-4611.349609,3537.203613,2.923566,0.0,0.0,-4.574834
281 16 40 15 17 12 2021,-4611.349609,3537.203613,2.923566,0.0,0.0,-4.574834
615 16 40 15 17 12 2021,-6216.19043,4767.618652,3.203439,0.0,0.0,-9.017673
948 16 40 15 17 12 2021,-6216.19043,4767.618652,3.203439,0.0,0.0,-9.017673
283 17 40 15 17 12 2021,-6216.19043,4767.618652,3.203439,0.0,0.0,-9.017673
617 17 40 15 17 12 2021,-6216.19043,4767.618652,3.203439,0.0,0.0,-9.017673
950 17 40 15 17 12 2021,-6216.19043,4767.618652,3.203439,0.0,0.0,-9.017673
283 18 40 15 17 12 2021,-6216.19043,4767.618652,3.203439,0.0,0.0,-9.017673
618 18 40 15 17 12 2021,-6216.19043,4767.618652,3.203439,0.0,0.0,-9.017673
952 18 40 15 17 12 2021,-6216.19043,4767.618652,3.203439,0.0,0.0,-9.017673
285 19 40 15 17 12 2021,-6216.19043,4767.618652,3.203439,0.0,0.0,-9.017673
750 19 40 15 17 12 2021,-7481.736816,5737.691895,3.307291,0.0,0.0,-13.984121
953 19 40 15 17 12 2021,-7481.736816,5737.691895,3.307291,0.0,0.0,-13.984121
287 20 40 15 17 12 2021,-8478.571289,6501.123535,3.435593,0.0,0.0,-17.45911
628 20 40 15 17 12 2021,-8478.571289,6501.123535,3.435593,0.0,0.0,-17.45911
961 20 40 15 17 12 2021,-8478.571289,6501.123535,3.435593,0.0,0.0,-17.45911
295 21 40 15 17 12 2021,-9257.397461,7096.753418,3.640975,0.0,0.0,-19.089121
632 21 40 15 17 12 2021,-9864.750977,7561.244141,3.801139,0.0,0.0,-20.360504
987 21 40 15 17 12 2021,-9864.750977,7561.244141,3.801139,0.0,0.0,-20.360504
299 22 40 15 17 12 2021,-10344.396484,7928.332031,3.26095,0.0,0.0,-22.85515
657 22 40 15 17 12 2021,-10344.396484,7928.332031,3.26095,0.0,0.0,-22.85515
969 22 40 15 17 12 2021,-10344.396484,7928.332031,3.26095,0.0,0.0,-22.85515
304 23 40 15 17 12 2021,-10344.396484,7928.332031,3.26095,0.0,0.0,-22.85515
638 23 40 15 17 12 2021,-10716.680664,8212.839844,2.344846,0.0,0.0,-24.447144
977 23 40 15 17 12 2021,-10716.680664,8212.839844,2.344846,0.0,0.0,-24.447144
310 24 40 15 17 12 2021,-10716.680664,8212.839844,2.344846,0.0,0.0,-24.447144
644 24 40 15 17 12 2021,-10716.680664,8212.839844,2.344846,0.0,0.0,-24.447144
977 24 40 15 17 12 2021,-10716.680664,8212.839844,2.344846,0.0,0.0,-24.447144
311 25 40 15 17 12 2021,-11006.607422,8431.902344,0.811368,0.0,0.0,-23.729347
645 25 40 15 17 12 2021,-11231.429688,8601.773438,-0.377761,0.0,0.0,-23.172718
979 25 40 15 17 12 2021,-11405.180664,8733.056641,-1.296765,0.0,0.0,-22.742531
316 26 40 15 17 12 2021,-11539.018555,8834.181641,-2.004658,0.0,0.0,-22.411158
651 26 40 15 17 12 2021,-11641.745117,8911.799805,-2.548,0.0,0.0,-22.156807
983 26 40 15 17 12 2021,-11720.325195,8971.173828,-2.963625,0.0,0.0,-21.962246
316 27 40 15 17 12 2021,-11780.226562,9016.43457,-3.280455,0.0,0.0,-21.813931
664 27 40 15 17 12 2021,-11825.736328,9050.820312,-3.521164,0.0,0.0,-21.701252
985 27 40 15 17 12 2021,-11825.736328,9050.820312,-3.521164,0.0,0.0,-21.701252
320 28 40 15 17 12 2021,-11860.080078,9076.636719,-3.628118,0.0,0.0,-21.875601
654 28 40 15 17 12 2021,-11885.868164,9096.021484,-3.708428,0.0,0.0,-22.006521
986 28 40 15 17 12 2021,-11885.868164,9096.021484,-3.708428,0.0,0.0,-22.006521
