Time,X,Y,Z,Roll,Pitch,Yaw
568 7 29 12 16 12 2021,0.0,0.0,0.0,0.0,0.0,0.0
805 7 29 12 16 12 2021,0.0,0.0,0.0,0.0,0.0,0.0
199 8 29 12 16 12 2021,0.0,0.0,0.0,0.0,0.0,0.0
632 8 29 12 16 12 2021,-10607.873047,8229.631836,5.154755,0.0,0.0,-3.799668
673 8 29 12 16 12 2021,-10607.873047,8229.631836,5.154755,0.0,0.0,-3.799668
695 8 29 12 16 12 2021,-11882.418945,9218.740234,5.877975,0.0,0.0,-0.096375
705 8 29 12 16 12 2021,-11882.418945,9218.740234,5.877975,0.0,0.0,-0.096375
764 8 29 12 16 12 2021,-11882.244141,9218.629883,5.923492,0.0,0.0,1.037575
781 8 29 12 16 12 2021,-11882.244141,9218.629883,5.923492,0.0,0.0,1.037575
800 8 29 12 16 12 2021,-11882.060547,9218.538086,5.966019,0.0,0.0,2.099457
837 8 29 12 16 12 2021,-11882.060547,9218.538086,5.966019,0.0,0.0,2.099457
849 8 29 12 16 12 2021,-11882.060547,9218.538086,5.966019,0.0,0.0,2.099457
859 8 29 12 16 12 2021,-11882.014648,9218.481445,5.989957,0.0,0.0,2.471575
871 8 29 12 16 12 2021,-11881.945312,9218.396484,6.025828,0.0,0.0,3.029182
883 8 29 12 16 12 2021,-11881.912109,9218.355469,6.042877,0.0,0.0,3.294205
893 8 29 12 16 12 2021,-11881.912109,9218.355469,6.042877,0.0,0.0,3.294205
905 8 29 12 16 12 2021,-11881.912109,9218.355469,6.042877,0.0,0.0,3.294205
916 8 29 12 16 12 2021,-11881.866211,9218.325195,6.057431,0.0,0.0,3.536998
925 8 29 12 16 12 2021,-11881.798828,9218.280273,6.079039,0.0,0.0,3.897497
936 8 29 12 16 12 2021,-11881.740234,9218.242188,6.097748,0.0,0.0,4.209616
948 8 29 12 16 12 2021,-11881.713867,9218.224609,6.106425,0.0,0.0,4.354386
959 8 29 12 16 12 2021,-11881.709961,9218.22168,6.107605,0.0,0.0,4.374063
970 8 29 12 16 12 2021,-11881.709961,9218.22168,6.107605,0.0,0.0,4.374063
981 8 29 12 16 12 2021,-11881.506836,9218.047852,6.174377,0.0,0.0,5.460719
993 8 29 12 16 12 2021,-11881.506836,9218.047852,6.174377,0.0,0.0,5.460719
4 9 29 12 16 12 2021,-11881.506836,9218.047852,6.174377,0.0,0.0,5.460719
16 9 29 12 16 12 2021,-11881.506836,9218.047852,6.174377,0.0,0.0,5.460719
29 9 29 12 16 12 2021,-11881.506836,9218.047852,6.174377,0.0,0.0,5.460719
40 9 29 12 16 12 2021,-11881.506836,9218.047852,6.174377,0.0,0.0,5.460719
52 9 29 12 16 12 2021,-11881.462891,9218.03125,6.183961,0.0,0.0,5.664742
77 9 29 12 16 12 2021,-11881.351562,9217.990234,6.208387,0.0,0.0,6.184721
83 9 29 12 16 12 2021,-11881.299805,9217.970703,6.219833,0.0,0.0,6.428402
98 9 29 12 16 12 2021,-11881.277344,9217.962891,6.224735,0.0,0.0,6.532743
108 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
119 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
129 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
139 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
183 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
189 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
197 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
207 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
218 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
230 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
240 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
267 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
271 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
284 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
296 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
306 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
318 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
329 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
359 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
364 9 29 12 16 12 2021,-11881.275391,9217.961914,6.225128,0.0,0.0,6.54112
